er,fr
The committee is made up of fifteen members.,Le comité se compose de quinze membres.
All the members of the committee hate one another.,Tous les membres du comité se haïssent l'un l'autre.
The great critic and the poet are traveling together.,Le grand critique et le poète voyagent de concert.
A great scholar is not necessarily a good teacher.,Un grand savant n'est pas forcément un grand enseignant.
Great people are not always wise.,Les célébrités ne sont pas toujours sages.
Great men are not always wise.,Les grands hommes ne sont pas toujours sages.
A great man doesn't care about his appearance.,Un grand homme ne se soucie pas de son apparence.
The client talked with the lawyer.,Le client parla avec l'avocat.
"On your marks, get set, go!","À vos marques, prêts, partez !"
I still haven't heard from him.,Je n'ai encore toujours rien entendu à son sujet.
Miss Ito made her students work hard.,Mademoiselle Ito faisait travailler dur ses étudiants.
Does Mr Ito teach history?,M. Ito enseigne-t-il l'histoire ?
Mr Ito teaches history.,M. Ito enseigne l'histoire.
Mr Ito loosened his tie because he felt hot in his office.,M. Ito a dénoué sa cravate parce qu'il avait chaud dans son bureau.
Mr Ito is a highly educated man.,M. Ito est un homme très éduqué.
Mr. Ito wants to see you.,M. Ito aimerait vous voir.
"I am very fond of lobsters, but they are very, very expensive.","J'aime beaucoup les homards, mais ils coûtent très, très cher."
We've been friends ever since.,Depuis lors nous sommes amis.
We've been friends ever since.,Nous sommes amis depuis ce moment-là.
Albumin was found in my urine before.,De l'albumine a déjà été trouvée dans mon urine.
There was a tall tree in front of my house.,Il y avait un grand arbre devant ma maison.
"Having seen him before, I knew him at once.","Comme je l'avais déjà vu, je l'ai tout de suite reconnu."
I'm not as rich as I was.,Je ne suis pas aussi riche que je le fus.
I'm not as rich as I was.,Je ne suis pas aussi riche que je l'étais.
No one had ever thought of selling ice before.,Personne n'avait jamais pensé à vendre de la glace auparavant.
"I used to look up to him, but not anymore.","Je l'admirais, mais plus maintenant."
"I used to look up to him, but not anymore.","Auparavant, je l'admirais, mais plus maintenant."
There used to be a big cherry tree at the back of my house.,"Dans le temps, il y avait un grand cerisier derrière ma maison."
There used to be big trees around my house.,Il y avait autrefois de grands arbres autour de ma maison.
"When I was a child, my mother would often read fairy tales to me.","Lorsque j'étais enfant, ma mère me lisait souvent des contes."
He said he had been to Hawaii before.,Il a dit qu'il a déjà été à Hawaii.
"I used to go fishing quite often, but now I rarely go.",J'allais assez souvent pêcher ; mais maintenant j'y vais rarement.
"You used to smoke, didn't you?","Tu fumais avant, n'est-ce pas ?"
There used to be a church here.,"Avant, il y avait une église ici."
There used to be a church here.,Il y avait une église ici.
There used to be a hut about here.,Il y avait autrefois une cabane à peu près ici.
People used to travel on foot.,Les gens avaient l'habitude avant de voyager à pied.
I was bored because I had seen the movie before.,Je m'ennuyais parce que j'avais déjà vu le film.
It's better than it was before.,C’est mieux qu’avant.
I look very different.,J'ai l'air bien différent.
I look very different.,J'ai l'air bien différente.
There used to be a store right here.,Il y avait un magasin ici autrefois.
"As you have often been here before, show me around, please.","Comme tu es souvent venu ici auparavant, fais-moi faire le tour, s'il te plait."
There used to be a big pond around here.,Il y avait autrefois un gros étang près d'ici.
There used to be an old temple here.,Il y avait ici un vieux temple.
I've always wanted to meet you.,J'ai toujours voulu te rencontrer.
I've always wanted to meet you.,J'ai toujours voulu faire votre connaissance.
Haven't we met before?,Ne nous sommes-nous pas rencontrés auparavant ?
Have we met before?,Nous sommes-nous rencontrés auparavant ?
I've been to Hokkaido before.,J'ai déjà été à Hokkaido.
Is that all?,C'est tout ?
"I may have seen that film before, but I can hardly remember it.","J'ai peut-être déjà vu ce film auparavant, mais j'ai du mal à m'en rappeler."
The following is his story.,Ce qui suit est son histoire.
I'll never do this again.,Je ne le referai plus.
The following passage is a quotation from a well-known fable.,Le passage suivant est une citation d'une célèbre fable.
The following persons passed the examination.,Les personnes suivantes ont réussi l'examen.
The data to be discussed below was collected in the following way.,Les données à discuter ci-dessous ont été collectées de la manière suivante.
It was a dark night.,C'était une nuit noire.
Could you send me a brochure?,Pouvez-vous m'envoyer une brochure ?
Could you send me a brochure?,Peux-tu m'envoyer une brochure ?
"Show me the way, will you?","Montrez-moi le chemin, voulez-vous ?"
"This book is surprisingly easy to read, isn't it?","C'est surprenant, finalement, ce livre est facile à lire, non ?"
I have no plans whatever.,Je n'ai aucun plan.
I have no plans whatever.,"Je n'ai aucun plan, quel qu'il soit."
"As was to be expected, he took the first place.","Ainsi qu'il fallait s'y attendre, il décrocha la première place."
"As was to be expected, he took the first place.","Ainsi qu'il fallait s'y attendre, il prit la première place."
Please input your PIN number.,Veuillez saisir votre code secret.
Assassination has never changed the history of the world.,Les assassinats n'ont jamais changé l'Histoire du monde.
Encryption technology has advanced to the point where it's pretty reliable.,Les technologies de chiffrement ont avancé au point d'être plutôt fiables.
A form appeared in the darkness.,Une forme est apparue dans l'ombre.
Something was stirring in the dark.,Quelque chose bougeait dans l'obscurité.
I was afraid of getting lost in the dark.,J'avais peur de me perdre dans le noir.
A red light was glowing in the dark.,Une lumière rouge luisait dans l'obscurité.
It is too dark to play outside.,Il fait trop sombre pour jouer dehors.
It's too dark to play outside.,Il fait trop sombre pour jouer dehors.
Come home before it gets dark.,Reviens à la maison avant que la nuit tombe.
Come home before it gets dark.,Rentrez avant qu'il ne fasse nuit.
I will return to the house before dark.,Je reviendrai à la maison avant la nuit.
I want to reach the hotel before it gets dark.,Je veux arriver à l'hôtel avant qu'il ne fasse nuit.
"It was getting dark, and, what made matters worse, it began to rain.","Il commençait à faire sombre et, pour empirer les choses, il s'est mis à pleuvoir."
Come home before dark.,Viens avant qu'il ne fasse sombre.
I reached the village before dark.,Je suis arrivé au village avant qu'il ne fasse nuit.
It's getting dark. You'd better go home.,Il commence à faire nuit. Tu ferais mieux de rentrer chez toi.
It is getting darker. It may rain soon.,Il se fait plus sombre. Peut-être va-t-il bientôt pleuvoir.
Don't let her go out after dark.,Ne la laisse pas sortir après la tombée de la nuit.
Don't let her go out after dark.,Ne la laissez pas sortir après la tombée de la nuit.
Don't go out after dark.,N'y va pas après la nuit tombée.
I don't like to go out after dark.,Je n'aime pas sortir après la tombée de la nuit.
Don't walk alone after dark.,Ne marche pas seule après la tombée du jour.
Don't walk alone after dark.,Ne déambule pas seul après la tombée du jour.
"As soon as it gets dark, the fireworks will start.","Dès qu'il fera nuit, les feux d'artifice commenceront."
"Not seeing anything in the dark, we couldn't move.","On ne voyait rien dans l'obscurité, on ne pouvait pas bouger."
It's not good to read in a dark room.,Ce n'est pas bon de lire dans une pièce sombre.
Dark clouds are a sign of rain.,Les nuages sombres sont signe de pluie.
Cheap sake makes you sick.,Le saké bon marché rend malade.
You may injure yourself if you don't follow safety procedures.,Tu peux te blesser si tu ne suis pas les procédures de sécurité.
We will set up a notice in front of the machine for safety's sake.,"Par souci de sécurité, nous allons accrocher un communiqué devant la machine."
Have a safe trip.,Faites un bon voyage !
Have a safe trip.,Bon voyage !
Have a safe trip.,Fais bon voyage !
Have a safe trip.,Faites bon voyage !
Have a safe trip.,Fais un bon voyage !
Safety is what matters most.,La sécurité est la chose la plus importante.
You should stay in bed.,Tu devrais rester au lit.
You should stay in bed.,Vous devriez rester au lit.
I feel relieved.,Je me sens soulagé.
Easy living corrupted the warrior spirit.,Une vie trop facile corrompit l'esprit militaire.
"Any watch will do, so long as it's cheap.",N'importe quelle montre fera l'affaire pourvu qu'elle ne soit pas chère.
Do you know of any inexpensive stores?,Est-ce que tu connais des magasins bon marché ?
I saved on travelling expenses by staying at a cheap hotel.,J'ai économisé les frais du voyage en logeant dans un hôtel qui n'était pas très cher.
The ayu season has opened.,La saison de l'ayu a commencé.
"Having been wrongly addressed, the letter never reached him.","Comme elle était mal adressée, la lettre ne lui parvint jamais."
An overwhelming majority voted to abolish the brutal punishment.,Une majorité écrasante vota pour l'abolition de ce châtiment brutal.
Let's shake hands and be friends.,Serrons-nous la main et soyons amis.
I have one final piece of advice related to handshakes: Remember to smile.,J'ai un dernier conseil relatif aux poignées de mains : N'oubliez pas de sourire.
A closed fist can indicate stress.,Un poing fermé peut être une indication de stress.
The notorious dictator abused his privileges to his heart's content.,Le dictateur notoire abusait de ses privilèges autant qu'il le désirait.
I had a nightmare.,J'ai fait un cauchemar.
Speak of the devil and he is sure to appear.,"Quand on parle du loup, on en voit la queue."
Give the devil his due.,Donne au diable ce qui lui revient.
It is not easy to get rid of bad habits.,Ce n'est pas facile de se débarrasser des mauvaises habitudes.
The bad weather delayed the plane for two hours.,Le mauvais temps a retardé l'avion durant deux heures.
"Due to bad weather, the plane was late.",L'avion a été en retard à cause du mauvais temps.
"Due to bad weather, the plane arrived three hours late.","À cause du mauvais temps, l'avion arriva avec trois heures de retard."
Bad weather prevented them from sailing.,Le mauvais temps les empêcha de faire de la voile.
Bad weather prevented them from sailing.,Le mauvais temps les empêcha d'aller à la voile.
I couldn't go out on account of the bad weather.,Je n'ai pas pu sortir à cause du mauvais temps.
"Owing to bad weather, I didn't go.",Je n'y suis pas allé en raison du mauvais temps.
Bad weather upset our plans to go on a hike.,Le mauvais temps a bouleversé nos plans de sortie en randonnée.
The plane was delayed on account of bad weather.,L'avion a été retardé à cause du mauvais temps.
The bad weather marred the ceremony.,Le mauvais temps a gâché la cérémonie.
Give credit where credit is due.,Honneur à celui auquel l'honneur est dû.
Give credit where credit is due.,Honorez celui auquel l'honneur revient.
It is not easy to get rid of a bad habit.,Il est malaisé de perdre une mauvaise habitude.
It's easy to fall into bad habits.,C'est facile de prendre de mauvaises habitudes.
He committed one crime after another.,Il commit crime après crime.
He committed one crime after another.,Il commit crime sur crime.
What one has sown one will have to reap.,On récolte ce que l'on sème.
Stop calling me names. That'll do you no good.,Cesse de m'insulter. Cela ne te vaudra rien de bon.
"Far be it from me to criticize, but your dress is rather loud.","Ce n'est pas pour dire du mal, mais tes vêtements sont plutôt ostentatoires."
I meant no harm.,Je n'avais pas de mauvaise intention.
I meant no harm.,Je ne pensais pas à mal.
The bandits demanded all money in the register.,Les brigands ont demandé à avoir tout l'argent de la caisse.
"The smaller the body, the more likely the person will suffer from the ill effects of radiation.","Plus le corps est petit, plus probablement la personne souffrira des effets néfastes de radiations."
I meant you no harm.,Je ne te voulais aucun mal.
I meant you no harm.,Je ne vous voulais aucun mal.
Deliver us from evil.,Délivre-nous du mal.
Punish the wicked and save the weak.,Punir les mauvais et sauver les faibles.
Don't carry a practical joke too far.,Que la plaisanterie n'aille pas trop loin.
Not bad.,Pas mal.
Evil sometimes wins.,Parfois le diable gagne.
Okay. Sorry.,Bien. Désolé.
Okay. Sorry.,D'accord. Je suis désolé.
The wicked witch cast a spell on the man and turned him into a bug.,La méchante sorcière lança un sort sur l'homme et le transforma en insecte.
Bad habits die hard.,Les mauvaises habitudes ont la peau dure.
I can't get rid of a bad cold.,Je ne peux pas me débarrasser d'un mauvais rhume.
Bad news travels fast.,Les mauvaises nouvelles ont des ailes.
Bad news travels fast.,Les mauvaises nouvelles vont vite.
Bad people are at the helm of the nation.,Des mauvaises personnes sont aux commandes de la nation.
It's very hard to get rid of bad habits.,Il est très difficile de se débarrasser des mauvaises habitudes.
A bad habit is easily acquired.,Il est facile de prendre de mauvaises habitudes.
"Once you've got into a bad habit, it can be difficult to get out of it.","Quand on prend une mauvaise habitude, il peut être difficile de s'en débarrasser."
I don't like bad boys.,Je n'aime pas les voyous.
It is I that am bad.,"La mauvaise personne, c'est moi."
It is I that am bad.,C'est moi qui suis mauvais.
No need to worry.,Pas de quoi s'inquiéter.
Is there a problem?,Il y a un problème ?
Do you think it a bad thing?,Penses-tu que ce soit une mauvaise chose ?
Don't be a bad boy.,Ne sois pas un mauvais garçon.
"I'm sorry, but it's just not possible.","Je suis désolé, mais c'est tout simplement impossible."
What a good dancer Aoi is!,Quelle bonne danseuse est Aoi!
How well Aoi dances!,Comment Aoi danse bien !
Aoi dances well.,Aoi danse bien.
Aoi's hobby is dancing.,Le loisir de Aoi est de danser.
Aoi became a dancer.,Aoi est devenue danseuse.
Aoi dances.,Aoi danse.
You cannot live by love alone.,On ne saurait vivre que d'amour.
Let's sing a patriotic air.,Chantons une chanson patriotique.
Accept a person's love.,Accepte l'amour de quelqu'un.
Nothing is as precious as love.,Il n'y a rien d'aussi précieux que l'amour.
Nothing is as precious as love.,Il n'y a rien de plus précieux que l'amour.
"Love me little, love me long.","Aime-moi un petit peu, aime-moi durablement."
"Love me little, love me long.","Aime-moi peu, aime-moi longtemps."
Charity begins at home.,Charité bien ordonnée commence par soi-même.
Charity begins at home.,La charité commence par sa propre maison.
Love makes the world go round.,L'amour fait tourner le monde.
What is life without the radiance of love?,Qu'est-ce que la vie sans le rayonnement de l'amour ?
Love and Peace.,Amour et Paix.
Love is seeing her in your dreams.,L'amour c'est la voir dans tes rêves.
I didn't marry her because I loved her.,Je ne l'ai pas épousée parce que je l'aimais.
I didn't marry her because I loved her.,Ce n'est pas parce que je l'aimais que je l'ai épousée.
"It is easy to love, but hard to be loved.","Il est facile d'aimer, mais difficile d'être aimé."
To love and to be loved is the greatest happiness.,Aimer et être aimé sont les plus grands des bonheurs.
There is more pleasure in loving than in being loved.,Il y a plus de plaisir à aimer qu'à être aimé.
It is love that rules the world.,L'amour mène le monde.
"As long as we love each other, we'll be all right.","Tout ira bien, tant qu'on s'aimera."
Faults are thick where love is thin.,Les fautes sont lourdes quand l'amour est léger.
Mt. Aso is an active volcano.,Le Mont Aso est un volcan actif.
The naughty boy got lost and looked around.,Le méchant garçon se perdit et regarda autour de lui.
We must be kind to the elderly.,Nous devons être gentils envers les personnes âgées.
We live in a civilized society.,Nous vivons dans une société civilisée.
We must not laugh at the poor.,Il ne faut pas se moquer des pauvres.
It is not until we lose our health that we recognise its blessing.,Ce n'est que lorsque notre santé nous quitte que nous nous rendons compte de sa valeur.
"We invited him to the party, but he did not show up.",Nous l'avons invité à la fête mais il ne s'est pas pointé.
"We invited him to the party, but he did not show up.",Nous l'avons invité à la fête mais il ne s'est pas montré.
We sought to come to terms with them.,Nous avons recherché un compromis avec eux.
We rid his house of mice.,Nous avons débarrassé sa maison des souris.
We all shall die sooner or later.,Nous mourrons tous tôt ou tard.
We are faced with many difficulties.,Nous sommes confrontés à de nombreuses difficultés.
"We moved into this house last month, but we still haven't settled down.","Nous avons emménagé dans cette maison le mois dernier, mais nous ne sommes pas encore installés."
We were ordered away without any explanation.,On nous a ordonné de partir sans la moindre explication.
We lost sight of the man in the crowd.,Nous avons perdu l'homme de vue dans la foule.
"We are but men, not gods.","Nous sommes des hommes, non des dieux."
"We are but men, not gods.","Nous ne sommes que des hommes, pas des dieux."
We were sweating in the heat.,Nous étions en sueur à cause de la chaleur.
We sat face to face with executives.,Nous étions assis face aux cadres.
We are not born for ourselves.,Nous ne sommes pas nés pour nous-mêmes.
We are subject to the laws of nature.,Nous sommes soumis aux lois de la nature.
We should do our best.,Nous devons faire de notre mieux.
"We considered going, but finally decided against it.",Nous envisagions de nous y rendre mais nous décidâmes finalement de ne pas le faire.
We must try to preserve the remains of ancient civilizations.,Nous devons essayer de préserver les vestiges des anciennes civilisations.
We have established the institute with a view to facilitating the research.,Nous avons fondé l'institut dans le but de faciliter la recherche.
We must make the best of what we are.,Nous devons tirer le meilleur de ce que nous sommes.
We were obliged to give up our plan.,Nous avons été contraints d'abandonner notre plan.
"While we hate force, we recognize the need for law and order.","Tout en haïssant l'usage de la force, nous reconnaissons la nécessité de la loi et l'ordre."
We must try to break the deadlock.,Nous devons essayer de sortir de l'impasse.
We were crowded into the small room.,Nous nous sommes retrouvés les uns sur les autres dans la petite pièce.
We discussed the matter from an educational point of view.,Nous avons discuté la question d'un point de vue éducatif.
It should be stressed that we are often influenced by advertising without being aware of it.,Il y a lieu de souligner que nous sommes souvent inconsciemment influencés par la publicité.
We were all drenched with perspiration.,Nous étions tous en nage.
We were all shaking from the bitter cold.,Nous tremblions tous dans le froid vif.
We participated in the athletic meet of our company.,Nous avons participé à la rencontre d'athlétisme organisée par notre entreprise.
"We die only once, and for such a long time.",On ne meurt qu'une fois et pour un bon bout de temps.
We climbed higher so that we might get a better view.,Nous avons grimpé plus haut pour avoir une meilleure vue.
We didn't mean to leave Mary out of the plan.,Nous ne voulions pas exclure Marie de nos plans.
All of us are connected with the past and the future as well as the present.,"Nous sommes tous en relation avec le passé, le futur ainsi qu'avec le présent."
We should sometimes pause to think.,Nous devrions nous arrêter pour réfléchir de temps en temps.
We should read as many books as possible.,Nous devrions lire autant de livres que possible.
We stood at the door and waited.,Nous nous tenions à la porte et attendions.
We considered the problem from all angles.,Nous avons étudié le problème sous tous les angles.
We love the man all the better for his faults.,Nous l'aimons encore plus pour ses erreurs.
We must make up for the loss.,Nous devons compenser la perte.
We must study the affair as a whole.,Nous devons étudier l'affaire dans sa totalité.
We've set the meeting tentatively for Monday. It's subject to change.,Nous avons fixé provisoirement la réunion à lundi. Cette date est susceptible d'être modifiée.
We looked forward to the party.,Nous avions hâte d'être à la fête.
At best we can only hope for a small profit.,"Au mieux, nous ne pouvons espérer qu'un petit bénéfice."
We elected Jane chairperson.,Nous avons élu Jane présidente.
We couldn't find out her whereabouts.,Nous n'avons pu trouver son lieu de résidence.
We were surprised at the ease with which he solved the problem.,Nous avons été surpris par la facilité avec laquelle il a résolu le problème.
We must defend our freedom at all cost.,Nous devons défendre notre liberté coûte que coûte.
Our plane was flying over the Pacific Ocean.,Notre avion était en train de voler au-dessus de l'océan Pacifique.
Our feelings towards him are mixed.,Nos sentiments à son égard sont mitigés.
The records of our discussions are kept by the secretary.,Les minutes de nos discussions sont tenues par le secrétaire.
Our escape was nothing short of a miracle.,Notre évasion n'était rien de moins qu'un miracle.
Our letters probably crossed in the mail.,Nos lettres se sont probablement croisées.
In our society we find men of integrity along with crooks.,Il faut de tout pour faire un monde.
In our society we find men of integrity along with crooks.,"Dans notre société, nous trouvons des hommes intègres avec des escrocs."
Don't mention our plan to anybody.,Ne parle à personne de notre plan.
Don't mention our plan to anybody.,Ne parle de notre plan à personne.
Our project didn't get off the ground until he joined the company.,Notre projet n'a pas décollé jusqu'à ce qu'il rejoigne l'entreprise.
"Although our universe is still young, theorists are busy exploring its ultimate fate.","Bien que l'univers soit encore jeune, les théoriciens sont occupés à explorer son destin ultime."
Not all of us are born with musical talent.,Nous ne sommes pas tous nés avec un talent musical.
"Language, as we know it, is a human invention.",Le langage tel que nous le connaissons est une invention humaine.
"Whatever you say, he won't change his mind.","Dites ce que vous voulez, il ne changera pas d'avis."
It was just an accident that we met at the store.,Nous nous sommes vraiment rencontrés au magasin par hasard.
A problem of whose importance we are fully aware.,Problème dont nous avons pleinement conscience de l'importance.
Give me liberty or give me death.,Donnez-moi la liberté ou donnez-moi la mort.
Give me liberty or give me death.,Donne-moi la liberté ou donne-moi la mort.
I am ashamed of myself.,J'ai honte de moi-même.
I've caught a bad cold.,J'ai contracté un mauvais rhume.
A man of straw is worth a woman of gold.,Un homme de paille vaut une femme en or.
It seems that Wataru devoted himself to his studies.,Il semble que Wataru se consacrait à ses études.
I know better than to lend him money.,Je ne suis pas assez bête pour lui prêter de l'argent.
I'll be sixteen years old next month.,J'aurai seize ans le mois prochain.
I must finish my homework before dinner.,Je dois finir mes devoirs avant le dîner.
I must finish my homework before dinner.,Je dois terminer mes devoirs avant le dîner.
I usually go to bed at ten.,En général je vais me coucher à dix heures.
I prefer traveling by train to flying.,Je préfère voyager par train plutôt que par voie aérienne.
I prefer traveling by train to flying.,J'aime mieux voyager en train qu'en avion.
I prefer traveling by train to flying.,Je préfère voyager en train plutôt que par avion.
I prefer traveling by train to flying.,Je préfère voyager en train que de voler.
I do not love him the less for his faults.,Je ne l'aime pas moins malgré ses défauts.
I have not yet learned whether he reached there or not.,Je n'ai pas encore appris s'il y était parvenu ou pas.
I like both dogs and cats.,J'aime autant les chats que les chiens.
I know an American girl who speaks Japanese very well.,Je connais une fille Américaine qui parle très bien le japonais.
I am looking for a house to rent.,Je cherche une maison à louer.
I can't walk because of my broken leg.,Je ne peux pas marcher à cause d'une fracture à la jambe.
I have little knowledge of biochemistry.,J'ai quelques connaissances en biochimie.
I swim once a week.,Je nage une fois par semaine.
I got my hands quite dirty.,Je me suis sali les mains.
"I like to perform magic tricks for kids, but they sometimes fall flat.","J'aime bien réaliser des tours de magie pour les gamins, mais ils tombent parfois à plat."
"I like to perform magic tricks for kids, but they sometimes fall flat.","J'aime faire des tours de magie aux enfants, mais parfois ça tombe à plat."
I'll never be able to play again.,Je ne pourrai plus jamais jouer à nouveau.
I'll never be able to play again.,Je ne serai jamais plus capable d'y jouer.
I have nothing to boast about.,Je n'ai pas de quoi me vanter.
I have a cat and a dog.,J'ai un chat et un chien.
I want to go with you.,Je veux t'accompagner.
I want to go with you.,Je veux y aller avec toi.
I'm from Kyoto.,Je suis de Kyoto.
I'm from Kyoto.,Je viens de Kyoto.
"I like music, and I listen to it every day.","J'aime la musique, et j'en écoute tous les jours."
I must make up for lost time by driving fast.,Je dois rattraper le temps perdu en conduisant vite.
I was forced to accept her proposal.,J'ai été forcé d'accepter sa proposition.
I was able to play piano very well.,Je pouvais très bien jouer du piano.
"I cannot go to the party, but thank you for inviting me all the same.","Je ne peux pas assister à la fête, mais merci en tout cas de m'avoir invité."
I have nothing to say against it.,Je n'ai rien à dire contre cela.
I didn't consider the subject seriously.,Je n'ai pas sérieusement pensé au sujet.
I have nothing to do with the affair.,Je n'ai rien à voir avec cette affaire.
I didn't take part in the conversation.,Je n'ai pas pris part à la conversation.
I was absent from the party.,J'étais absent de la fête.
I wanted to go there.,Je voulais y aller.
I wanted to go there.,Je voulais m'y rendre.
I will write Judy a letter.,J'écrirai une lettre à Judy.
I went into details.,J'entrais dans les détails.
"Each time I see this picture, I remember my father.","Chaque fois que je vois cette photo, je me souviens de mon père."
"I paid 40,000 yen for this tape recorder.",J'ai payé quarante mille yens pour cet enregistreur.
I prefer coffee to tea.,Je préfère le café au thé.
I invited them to the party.,Je les ai invités à la fête.
I invited them to the party.,Je les ai invitées à la fête.
I am a student at Oxford University.,Je suis étudiant à l'université d'Oxford.
"He got very angry, for she refused to follow his advice.",Il était en colère car elle a refusé de suivre son conseil.
I always walk to school.,Je marche toujours pour me rendre à l'école.
I wasn't always happy.,Je n'étais pas toujours heureux.
I have a desire to go to England.,Je désire aller en Angleterre.
I captured butterflies with a net.,J'ai attrapé des papillons avec un filet.
I captured butterflies with a net.,J'ai capturé des papillons au filet.
I haven't a very good dictionary.,Je n'ai pas un très bon dictionnaire.
I can understand your language.,Je peux comprendre ta langue.
I want to travel with you.,Je veux voyager avec toi.
I want to travel with you.,Je veux voyager avec vous.
I took it that you would come.,Je supposais que tu viendrais.
I'd like to reserve a table for three.,J'aimerais réserver une table pour trois personnes.
I saw a movie for the first time in two years.,C'est la première fois en 2 ans que j'ai vu un film.
I am a bachelor.,Je suis célibataire.
I am at home.,Je suis à la maison.
I met Mary and John when in London.,J'ai rencontré Marie et John à Londres.
I lost the camera I had bought the day before.,J'ai perdu l'appareil photo que j'avais acheté la veille.
I availed myself of this favorable opportunity.,Je profitai de cette opportunité favorable.
I believe in Ken.,Je crois Ken.
I am more beautiful than you.,Je suis plus belle que vous.
I am more beautiful than you.,Je suis plus belle que toi.
It seems to me that you are wrong.,Il me semble que vous avez tort.
My watch keeps very good time.,Ma montre est à l'heure exacte.
All hope of my promotion went up in smoke after my reorganization plan fell through.,Tous mes espoirs de promotion se sont évanouis après que mon plan de réorganisation eut échoué.
My house stands on a hill.,Ma maison se tient sur une colline.
My house is only a mile from here.,Ma maison est seulement à un mille d'ici.
My house is only a mile from here.,Ma maison ne se situe qu'à un mile d'ici.
"Pass me the wine, please.",Passez-moi le vin s'il vous plaît.
My aunt lives in New York.,Ma tante vit à New York.
My aunt lives in New York.,Ma tante habite à New York.
I have a friend whose father is a famous pianist.,J'ai un ami dont le père est un pianiste connu.
Work is all in all to me.,Le travail est tout pour moi.
I have no time to watch TV.,Je n'ai pas le temps de regarder la télévision.
I have a lot of work to do.,J'ai beaucoup de travail à faire.
We walked among the trees.,Nous marchâmes au milieu des arbres.
We should love our neighbors.,Nous devons aimer nos voisins.
We have seen three wars.,Nous avons connu trois guerres.
We noticed the man enter her room.,"Nous avons remarqué l'homme, qui entrait dans sa chambre à elle."
We noticed the man enter her room.,Nous avons remarqué que l'homme entrait dans sa chambre à elle.
We noticed the man enter her room.,Nous avons remarqué que l'homme entrait dans sa chambre.
We took a taxi so as to reach there on time.,Nous avons pris un taxi pour arriver là-bas à l'heure.
Our school is across the river.,Notre école se situe au-delà du fleuve.
"We were delayed by traffic congestion, so we had to hurry.","Nous avons été coincés dans les embouteillages, il nous a donc fallu nous dépêcher."
The party was well along when I came.,"Quand je suis arrivé, la fête était déjà bien avancée."
I was taking a bath when the telephone rang.,Je prenais un bain quand le téléphone a sonné.
It is just a year since I got married.,Cela fait juste un an que je suis marié.
"When I came home, he was watching TV.","Quand je suis arrivé à la maison, il regardait la télévision."
It is the car that we have wanted.,C'est la voiture que nous désirions.
"When I see this picture, I always think of the old days.","À chaque fois que je vois cette photo, je pense toujours au bon vieux temps."
"Now that I am here, you don't have to worry.","Maintenant que je suis ici, tu n'as pas à t'inquiéter."
"Don't enter the room until I say ""All right.""",Ne rentre pas dans la chambre avant que je ne te dise « c'est bon ».
"We rented that house, not because we were pleased with it, but because it was near the station.","Nous avons loué cette maison non parce qu’elle nous plaisait, mais parce qu'elle était proche de la gare."
A few words may betray a man's true character.,Quelques mots peuvent trahir le caractère d'un homme.
It's hard for him to live on his small pension.,Il lui est difficile de vivre de sa maigre pension.
It's hard for him to live on his small pension.,Il lui est difficile de vivre de sa maigre retraite.
It's hard for me to live on my small income.,Il est difficile pour moi de vivre avec mon petit revenu.
The slightest mistake may lead to a fatal disaster.,La plus petite erreur peut mener à un accident fatal.
What little money he earned he spent on books.,"Le peu d'argent qu'il gagnait, il le dépensait en livres."
She has a little money put aside.,Elle a un peu d'argent de côté.
"It would be unwise, not to say stupid, of you to quit your first job after only six months.","Il serait malavisé, voire stupide, de quitter ton premier emploi après seulement six mois."
"Which is the capital of the United States, Washington or New York?",La capitale des États-Unis est Washington ou bien New-York ?
Cherry trees are now in bloom in Washington.,Les cerisiers sont en fleur en ce moment à Washington.
The eagle is king of birds.,L'aigle est le roi des oiseaux.
The eagle dived at its prey.,L'aigle plongea sur sa proie.
An eagle is flying in the sky.,Un aigle vole dans le ciel.
Don't bother to call me.,Ne t'embête pas à m'appeler.
It is kind of you go out of your way to help me.,Merci d'être venus spécialement pour m'aider.
Don't bother to pick me up at the hotel.,Ne t'embête pas à venir me prendre à l'hôtel.
Don't ask me why.,Ne me demande pas pourquoi.
Our fighters averaged 430 missions a day.,Nos combattants ont effectué une moyenne de 430 missions par jour.
Our company is planning to build a new chemical plant in Russia.,Notre entreprise a le projet de construire une nouvelle usine chimique en Russie.
We depend on foreign nations for our natural resources.,Nous dépendons des nations étrangères pour nos ressources naturelles.
Our country abounds in products.,Notre pays abonde en produits finis.
Our country is in a crisis.,Notre pays est en crise.
Our country is rich in marine products.,Notre pays est riche en produits de la mer.
Our country has enjoyed many years of unbroken peace.,Notre pays a profité de plusieurs années de paix ininterrompue.
We import tea from India.,Nous importons le thé d'Inde.
Our cities create serious pollution problems.,Nos villes créent de sérieux problèmes de pollution.
Crime is certainly on the increase in many of our big cities.,La criminalité est certainement en progression dans plusieurs de nos grandes villes.
The morals of our politicians have been corrupted.,La moralité de nos politiciens a été corrompue.
Our people thirst for independence.,Notre peuple a soif d'indépendance.
I was extremely disappointed to see our national soccer team suffer a historic loss.,Je fus très déçu de voir notre équipe nationale de foot encaisser une défaite historique.
I was extremely disappointed to see our national soccer team suffer a historic loss.,J'étais très déçu de voir notre équipe nationale de foot subir une défaite historique.
Computer science has made rapid progress in our country.,L'informatique a fait de rapides progrès dans notre pays.
